Timestamp,1,2,3,4
0,-63,,,
55,,-66,,
120,,,,-73
149,,,-63,
162,-61,,,
213,,-66,,
284,,,,-72
309,,,-62,
320,-61,,,
367,,-66,,
439,,,,-73
467,,,-62,
478,-61,,,
524,,-66,,
595,,,,-61
626,,,-59,
639,-62,,,
688,,-69,,
757,,,,-61
789,,,-59,
798,-62,,,
844,,-68,,
918,,,,-60
948,,,-59,
961,-62,,,
1001,,-69,,
1073,,,,-63
1107,,,-64,
1118,-62,,,
1159,,-73,,
1229,,,,-62
1266,,,-64,
1280,-62,,,
1315,,-73,,
1389,,,,-62
1424,,,-64,
1436,-62,,,
1469,,-73,,
1550,,,,-73
1576,,,-63,
1596,-61,,,
1623,,-66,,
1710,,,,-73
1734,,,-63,
1754,-61,,,
1778,,-66,,
1867,,,,-73
1897,,,-63,
1911,-61,,,
1936,,-67,,
2030,,,,-73
2061,,,-59,
2072,-61,,,
2093,,-68,,
2192,,,,-61
2217,,,-59,
2235,-62,,,
2249,,-69,,
2346,,,,-61
2375,,,-59,
2390,-61,,,
2411,,-68,,
2505,,,,-61
2536,,,-59,
2553,-63,,,
2567,,-73,,
2667,,,,-62
2697,,,-64,
2713,-63,,,
2721,,-73,,
2826,,,,-63
2854,,,-64,
2867,-63,,,
2878,,-73,,
2984,,,,-63
3012,,,-64,
3030,-62,,,
3139,,,,-72
3165,,,-62,
3182,-61,,,
3197,,-66,,
3297,,,,-72
3328,,,-63,
3346,-61,,,
3351,,-66,,
3454,,,,-73
3491,,,-62,
3505,-61,,,
3510,,-67,,
3612,,,,-61
3650,,,-59,
3663,-62,,,
3674,,-69,,
3772,,,,-61
3807,,,-59,
3823,-62,,,
3829,,-69,,
3930,,,,-61
3966,,,-59,
3990,,-69,,
4087,,,,-63
4130,,,-64,
4139,-63,,,
4154,,-73,,
4250,,,,-63
4293,,,-64,
4295,-63,,,
4311,,-74,,
4404,,,,-63
4447,,,-64,
4456,-63,,,
4473,,-73,,
4566,,,,-73
4600,,,-63,
4609,-61,,,
4635,,-66,,
4724,,,,-73
4757,,,-63,
4769,-61,,,
4792,,-66,,
4884,,,,-73
4916,,,-62,
4927,-61,,,
4953,,-67,,
5048,,,,-61
5072,,,-59,
5087,-62,,,
5109,,-68,,
5207,,,,-61
5227,,,-59,
5243,-61,,,
5264,,-70,,
5364,,,,-61
5391,,,-59,
5398,-61,,,
5419,,-68,,
5526,,,,-61
5547,,,-64,
5555,-63,,,
5583,,-74,,
5684,,,,-62
5708,,,-64,
5714,-62,,,
5738,,-73,,
5842,,,,-63
5872,,,-64,
5873,-63,,,
5894,,-74,,
5997,,,,-62
6027,,,-64,
6029,-62,,,
6051,,-66,,
6150,,,,-72
6184,,,-62,
6189,-61,,,
6213,,-66,,
6308,,,,-72
6340,,,-62,
6351,-61,,,
6376,,-66,,
6469,,,,-73
6503,,,-62,
6510,-61,,,
6533,,-66,,
6629,,,,-61
6663,,,-59,
6668,-62,,,
6690,,-68,,
6789,,,,-61
6819,,,-59,
6829,-62,,,
6851,,-68,,
6948,,,,-61
6976,,,-59,
6986,-62,,,
7008,,-68,,
7103,,,,-63
7133,,,-64,
7145,-62,,,
7165,,-73,,
7261,,,,-63
7294,,,-64,
7302,-62,,,
7327,,-74,,
7419,,,,-63
7486,,-73,,
7579,,,,-73
7610,,,-63,
7614,-61,,,
7642,,-66,,
7737,,,,-72
7767,,,-62,
7772,-61,,,
7798,,-66,,
7898,,,,-73
7922,,,-62,
7934,-61,,,
7956,,-66,,
8057,,,,-61
8078,,,-59,
8092,-62,,,
8121,,-68,,
8218,,,,-61
8238,,,-59,
8248,-62,,,
8284,,-69,,
8376,,,,-61
8402,,,-59,
8405,-62,,,
8447,,-69,,
8536,,,,-61
8561,-63,,,
8563,,,-64,
8606,,-73,,
8699,,,,-63
8719,,,-64,
8725,-62,,,
8765,,-73,,
8861,,,,-63
8879,,,-64,
8889,-63,,,
8924,,-73,,
9024,,,,-63
9045,-61,,,
9084,,-66,,
9180,,,,-74
9197,,,-62,
9206,-61,,,
9239,,-67,,
9339,,,,-73
9354,,,-63,
9363,-60,,,
9397,,-67,,
9495,,,,-73
9523,-60,,,
9558,,-68,,
9655,,,,-61
9675,,,-59,
9678,-62,,,
9714,,-68,,
9819,,,,-61
9830,,,-59,
9835,-61,,,
9872,,-68,,
9979,,,,-61
9992,,,-59,
9998,-61,,,
10036,,-68,,
10143,,,,-63
10152,,,-64,
10160,-63,,,
10191,,-74,,
10299,,,,-63
10308,,,-64,
10315,-62,,,
10350,,-74,,
10460,,,,-63
10463,,,-64,
10470,-63,,,
10507,,-74,,
10614,,,,-72
10623,,,-62,
10626,-60,,,
10667,,-66,,
10775,,,,-72
10779,,,-63,
10784,-60,,,
10824,,-67,,
10934,,,,-73
10936,,,-63,
10942,-60,,,
10979,,-67,,
11254,,,,-61
11258,,,-59,
11268,-61,,,
11301,,-68,,
11414,,,,-61
11416,,,-59,
11427,-61,,,
11457,,-68,,
11569,,,,-63
11572,,,-64,
11592,-62,,,
11619,,-74,,
11731,,,,-62
11733,,,-64,
11749,-63,,,
11782,,-74,,
11886,,,,-63
11892,,,-64,
11904,-62,,,
11936,,-74,,
12042,,,,-74
12053,,,-63,
12065,-61,,,
12091,,-67,,
12202,,,,-73
12213,,,-63,
12219,-60,,,
12254,,-66,,
12364,,,,-73
12371,,,-62,
12380,-60,,,
12412,,-67,,
12519,,,,-74
12531,,,-63,
12545,-61,,,
12573,,-68,,
12677,,,,-61
12689,,,-59,
12699,-62,,,
12735,,-68,,
12835,,,,-61
12849,,,-59,
12857,-62,,,
12891,,-68,,
12994,,,,-61
13011,,,-59,
13015,-62,,,
13055,,-74,,
13153,,,,-63
13169,,,-64,
13177,-63,,,
13211,,-74,,
13312,,,,-63
13327,,,-64,
13338,-63,,,
13371,,-73,,
13466,,,,-63
13489,,,-64,
13501,-63,,,
13531,,-73,,
13618,,,,-73
13643,,,-63,
13662,-61,,,
13687,,-66,,
13773,,,,-73
13801,,,-63,
13818,-61,,,
13850,,-66,,
13931,,,,-72
13963,,,-63,
13974,-61,,,
14011,,-67,,
14086,,,,-61
14123,,,-59,
14135,-62,,,
14169,,-68,,
14245,,,,-61
14277,,,-59,
14290,-62,,,
14332,,-69,,
14406,,,,-61
14437,,,-59,
14446,-61,,,
14486,,-69,,
14570,,,,-62
14598,,,-64,
14601,-63,,,
14647,,-73,,
14725,,,,-63
14757,,,-64,
14760,-63,,,
