Timestamp,1,2,3,4
0,,-68,,
11,-63,,,
33,,,,-62
150,,,-60,
160,,-68,,
173,-63,,,
193,,,,-61
308,,,-60,
319,,-68,,
336,-63,,,
353,,,,-62
467,,,-64,
473,,-71,,
491,-62,,,
513,,,,-62
621,,,-64,
636,,-70,,
648,-62,,,
670,,,,-63
777,,,-64,
797,,-70,,
808,-62,,,
826,,,,-62
938,,,-62,
954,,-69,,
966,-59,,,
987,,,,-66
1097,,,-62,
1110,,-69,,
1121,-59,,,
1146,,,,-67
1259,,,-62,
1267,,-69,,
1283,-58,,,
1300,,,,-66
1416,,,-60,
1426,,-69,,
1441,-63,,,
1456,,,,-62
1579,,,-60,
1582,,-69,,
1599,-63,,,
1615,,,,-62
1759,-63,,,
1770,,,,-62
1897,,,-60,
1902,,-70,,
1921,-63,,,
1926,,,,-63
2053,,,-64,
2059,,-70,,
2081,-63,,,
2083,,,,-62
2214,,,-64,
2221,,-70,,
2242,-63,,,
2244,,,,-62
2369,,,-64,
2385,,-70,,
2397,-63,,,
2527,,,-62,
2542,,-69,,
2552,-58,,,
2562,,,,-67
2684,,,-62,
2705,,-68,,
2715,-58,,,
2724,,,,-67
2845,,,-62,
2864,,-69,,
2872,-59,,,
2880,,,,-67
3005,,,-60,
3020,,-69,,
3029,-63,,,
3043,,,,-62
3164,,,-60,
3179,,-68,,
3193,-63,,,
3202,,,,-62
3318,,,-60,
3340,,-69,,
3351,-63,,,
3365,,,,-61
3479,,,-64,
3495,,-70,,
3511,-63,,,
3522,,,,-62
3640,,,-64,
3653,,-70,,
3670,-63,,,
3677,,,,-62
3803,,,-64,
3810,,-70,,
3824,-63,,,
3833,,,,-62
3965,,,-62,
3967,,-69,,
3977,-58,,,
3992,,,,-67
4125,,,-62,
4130,,-68,,
4135,-59,,,
4148,,,,-67
4279,,,-62,
4289,,-69,,
4296,-59,,,
4311,,,,-67
4442,,,-60,
4447,,-68,,
4451,-63,,,
4474,,,,-62
4599,,,-60,
4607,,-68,,
4614,-63,,,
4634,,,,-62
4753,,,-60,
4761,,-68,,
4777,-63,,,
4789,,,,-62
4912,,,-64,
4925,,-70,,
4939,-63,,,
4947,,,,-62
5075,,,-64,
5081,,-70,,
5094,-63,,,
5108,,,,-63
5235,,,-64,
5237,,-70,,
5249,-63,,,
5268,,,,-62
5390,,,-64,
5395,,-70,,
5405,-58,,,
5422,,,,-67
5548,,,-62,
5550,,-69,,
5565,-58,,,
5585,,,,-67
5703,,,-62,
5706,,-69,,
5726,-59,,,
5740,,,,-67
5858,,,-62,
5860,,-69,,
5884,-59,,,
5898,,,,-68
6013,,,-60,
6016,,-68,,
6045,-63,,,
6054,,,,-61
6171,,-68,,
6175,,,-60,
6208,-63,,,
6212,,,,-62
6331,,,-60,
6333,,-68,,
6368,-63,,,
6371,,,,-61
6489,,,-64,
6496,,-70,,
6529,,,,-62
6532,-63,,,
6649,,,-64,
6654,,-70,,
6690,-63,,,
6692,,,,-62
6808,,,-64,
6814,,-70,,
6851,,,,-62
6853,-63,,,
6969,,,-62,
6971,,-69,,
7006,,,,-67
7127,,,-62,
7129,,-69,,
7161,,,,-67
7163,-58,,,
7283,,,-62,
7292,,-69,,
7320,,,,-68
7322,-58,,,
7446,,,-60,
7448,,-68,,
7483,,,,-62
7603,,,-60,
7611,,-68,,
7632,-63,,,
7641,,,,-61
7762,,,-60,
7767,,-68,,
7786,-63,,,
7800,,,,-61
7921,,,-64,
7923,,-70,,
7943,-62,,,
7955,,,,-62
8076,,,-64,
8079,,-70,,
