Timestamp,1,2,3,4
0,-58,,,
10,,,,-59
25,,,-72,
417,,-65,,
420,-58,,,
432,,,,-59
435,,,-71,
525,-59,,,
527,,-65,,
537,,,,-59
540,,,-72,
941,-58,,,
948,,-65,,
961,,,,-59
963,,,-71,
1044,-59,,,
1374,,,-71,
1384,,,,-59
1469,-59,,,
1471,,-66,,
1475,,,-72,
1490,,,,-59
1893,,-65,,
1897,-58,,,
1901,,,-71,
1903,,,,-59
1995,,-65,,
2006,-58,,,
2008,,,,-59
2411,,-65,,
2425,-59,,,
2427,,,-72,
2430,,,,-59
2836,,-65,,
2845,-59,,,
2856,,,,-59
2858,,,-72,
2939,,-66,,
2950,-58,,,
2962,,,,-59
2968,,,-71,
3352,,-65,,
3385,-58,,,
3777,,-66,,
3808,-58,,,
3810,,,-72,
3879,,-66,,
3912,-59,,,
3914,,,-72,
3920,,,,-59
4288,,-66,,
4335,-59,,,
4337,,,-71,
4340,,,,-59
4388,,-66,,
4754,,,-71,
4760,-59,,,
4768,,,,-59
4805,,-65,,
4862,-58,,,
4878,,,,-59
5218,,-65,,
5282,-59,,,
5287,,,-71,
5298,,,,-59
5326,,-65,,
5700,-58,,,
5714,,,-71,
5723,,,,-59
5753,,-66,,
5806,-59,,,
5823,,,-71,
5830,,,,-59
6170,,-66,,
6225,-59,,,
6248,,,-71,
6258,,,,-59
6271,,-66,,
6658,-59,,,
6668,,,,-59
6671,,,-71,
6678,,-66,,
6765,-58,,,
6769,,,,-59
6773,,,-71,
6786,,-65,,
7194,,,-71,
7196,-58,,,
7198,,,,-59
7208,,-66,,
7618,-58,,,
7625,,,,-59
7627,,-66,,
7702,,,-71,
7726,-59,,,
7730,,,,-59
7733,,-65,,
8127,,,-71,
8146,-59,,,
8148,,,,-59
8156,,-66,,
8233,,,-70,
8654,,,-71,
8669,-58,,,
8674,,,,-59
8676,,-66,,
9078,-59,,,
9081,,,-71,
9094,,-65,,
9106,,,,-59
9183,-59,,,
9186,,,-71,
9195,,-66,,
9531,,,,-59
9594,-59,,,
9606,,-66,,
9611,,,-71,
9633,,,,-59
10019,,-66,,
10055,,,,-59
10116,,,-71,
