Timestamp,1,2,3,4
0,,,-56,
9,-43,,,
16,,-50,,
25,,,,-57
415,,,-56,
428,-43,,,
436,,-50,,
450,,,,-57
518,,,-56,
536,-43,,,
545,,-50,,
933,,,-56,
952,-43,,,
961,,,,-57
1354,,,-56,
1371,-43,,,
1375,,-50,,
1384,,,,-57
1457,,,-56,
1473,-43,,,
1476,,-50,,
1490,,,,-57
1875,,,-56,
1904,-43,,,
1906,,-50,,
1913,,,,-57
1977,,,-56,
2327,-43,,,
2329,,-50,,
2399,,,-56,
2432,,-50,,
2434,-43,,,
2809,,,-56,
2844,,-50,,
2850,,,,-57
2862,-43,,,
2916,,,-56,
3273,,-50,,
3277,-43,,,
3334,,,-56,
3371,,,,-57
3375,,-50,,
3382,-43,,,
3752,,,-56,
3793,,,,-57
3798,,-50,,
3801,-43,,,
3897,,,,-57
3902,,-50,,
3908,-43,,,
4278,,,-56,
4318,,,,-57
4323,,-50,,
4334,-43,,,
4386,,,-56,
4735,,,,-57
4737,,-50,,
4755,-43,,,
4800,,,-56,
4839,,-50,,
4842,,,,-57
4860,-43,,,
5214,,,-56,
5252,,-50,,
5261,,,,-57
5283,-43,,,
5319,,,-56,
5686,,,,-57
5702,-43,,,
5739,,,-56,
5807,-43,,,
6152,,,-56,
6216,,,,-57
6231,-43,,,
6233,,-50,,
6254,,,-56,
6652,,-50,,
6656,-43,,,
6680,,,-56,
6735,,,,-57
6757,,-50,,
6759,-43,,,
6783,,,-56,
7154,,,,-57
7167,,-50,,
7184,-43,,,
7199,,,-56,
7263,,,,-57
7606,-43,,,
7621,,,-56,
7691,,,,-57
7693,,-50,,
7713,-43,,,
7727,,,-56,
8101,,-50,,
8107,,,,-57
8131,-43,,,
8145,,,-56,
8208,,,,-57
8210,,-50,,
8563,,,-56,
8617,,-50,,
8621,,,,-57
8651,-43,,,
8668,,,-56,
9035,,-50,,
9041,,,,-57
9067,-43,,,
9090,,,-56,
9136,,-50,,
9145,,,,-57
9169,-43,,,
9519,,,-56,
9560,,,,-57
9563,,-50,,
9593,-43,,,
9625,,,-56,
9665,,,,-57
9994,,-50,,
10012,-43,,,
10042,,,-56,
10096,,-50,,
10114,-43,,,
10150,,,-56,
10474,,,-56,
10506,,,,-57
10519,,-50,,
10532,-43,,,
10581,,,-56,
10609,,,,-57
10626,,-50,,
10955,-43,,,
10996,,,-56,
11024,,,,-57
11052,,-50,,
11059,-43,,,
11097,,,-56,
11440,,,,-57
11474,-43,,,
11477,,-50,,
11511,,,-56,
11547,,,,-57
11580,-43,,,
11582,,-50,,
11930,,,-56,
11966,,,,-57
12035,,,-56,
12068,,,,-57
12421,,-50,,
12423,-43,,,
12448,,,-56,
12487,,,,-57
12527,,-50,,
12531,-43,,,
12898,,,,-57
12940,,-50,,
12947,-43,,,
13000,,,,-57
13353,,-50,,
13365,-43,,,
13410,,,,-57
13458,,-50,,
13469,,,-56,
13471,-43,,,
13877,,,-56,
