Timestamp,1,2,3,4
0,,,,-87
7,,-55,,
24,,,-77,
35,-50,,,
103,,,,-87
108,,-55,,
142,-50,,,
198,,,,-87
208,,-55,,
222,,,-78,
239,-50,,,
305,,,,-72
311,,-57,,
321,,,-76,
342,-50,,,
405,,-57,,
408,,,,-72
421,,,-76,
441,-50,,,
498,,,,-72
502,,-57,,
523,,,-76,
542,-50,,,
599,,,,-72
604,,-57,,
617,,,-75,
636,-50,,,
703,,,,-72
706,,-57,,
727,,,-76,
743,-50,,,
803,,,,-72
811,,-63,,
821,,,-95,
841,-56,,,
899,,,,-72
910,,-63,,
925,,,-95,
942,-56,,,
1006,,-63,,
1008,,,,-72
1025,,,-95,
1041,-56,,,
1104,,-63,,
1107,,,,-72
1127,,,-95,
1142,-56,,,
1203,,,,-72
1205,,-63,,
1218,,,-95,
1238,-56,,,
1302,,,,-86
1305,,-56,,
1324,,,-78,
1335,-50,,,
1401,,-56,,
1403,,,,-88
1420,,,-78,
1497,,,,-87
1505,,-55,,
1518,,,-77,
1536,-50,,,
1603,,-56,,
1605,,,,-88
1635,-50,,,
1701,,,,-86
1708,,-56,,
1719,,,-77,
1737,-50,,,
1801,,,,-71
1804,,-57,,
1822,,,-77,
1835,-50,,,
1904,,,,-71
1908,,-57,,
1926,,,-76,
1936,-50,,,
2005,,,,-71
2020,,,-76,
2042,-50,,,
2098,,,,-70
2110,,-57,,
2118,,,-77,
2139,-50,,,
2203,,-57,,
2206,,,,-71
2222,,,-76,
2241,-50,,,
2304,,,,-72
2310,,-63,,
2322,,,-97,
2336,-56,,,
2402,,-63,,
2428,,,-96,
2435,-56,,,
2502,,-63,,
2506,,,,-72
2518,,,-95,
2537,-56,,,
2607,,-63,,
2627,,,-95,
2638,-56,,,
2701,,,,-72
2707,,-64,,
2725,,,-95,
2739,-56,,,
2807,,-56,,
2822,,,-77,
2837,-50,,,
2900,,,,-88
2909,,-56,,
2919,,,-77,
2933,-50,,,
2996,,,,-88
3003,,-56,,
3018,,,-77,
3035,-50,,,
3098,,,,-88
3103,,-56,,
3203,,-56,,
3241,-50,,,
3305,,,,-71
3308,,-57,,
3324,,,-76,
3343,-50,,,
3398,,,,-71
3405,,-57,,
3418,,,-76,
3437,-50,,,
3499,,,,-70
3504,,-57,,
3518,,,-76,
3541,-50,,,
3601,,,,-70
3606,,-57,,
3621,,,-77,
3706,,-57,,
3708,,,,-70
3721,,,-76,
3734,-50,,,
3799,,,,-72
3808,,-63,,
3825,,,-95,
3835,-56,,,
3899,,,,-72
3904,,-63,,
3936,-56,,,
4001,,,,-72
4004,,-63,,
4036,-56,,,
4100,,,,-72
4103,,-63,,
4118,,,-95,
4137,-56,,,
4199,,,,-72
4206,,-63,,
4220,,,-95,
4239,-56,,,
4297,,,,-86
4301,,-56,,
4317,,,-77,
4338,-50,,,
4400,,,,-87
4404,,-56,,
4436,-50,,,
4499,,,,-86
4508,,-56,,
4519,,,-76,
4540,-50,,,
4604,,,,-85
4608,,-56,,
4619,,,-77,
4641,-50,,,
4699,,,,-85
4703,,-56,,
4722,,,-78,
4742,-50,,,
4798,,,,-71
4802,,-57,,
4837,-50,,,
4904,,-57,,
4927,,,-77,
4942,-50,,,
5004,,,,-71
5009,,-57,,
5021,,,-76,
5038,-50,,,
5097,,,,-70
5108,,-57,,
5118,,,-77,
5140,-50,,,
5206,,,,-71
5209,,-57,,
5224,,,-77,
5241,-50,,,
5302,,-63,,
5306,,,,-72
5325,,,-95,
5341,-56,,,
5402,,,,-72
5409,,-64,,
5426,,,-94,
5440,-56,,,
5502,,,,-72
5510,,-63,,
5522,,,-95,
5538,-56,,,
5603,,-63,,
5606,,,,-72
5619,,,-95,
5639,-56,,,
5706,,,,-72
5710,,-63,,
5718,,,-95,
5739,-56,,,
5797,,,,-86
5805,,-56,,
5821,,,-78,
5840,-50,,,
5897,,,,-87
5901,,-56,,
5918,,,-77,
5935,-50,,,
6001,,,,-86
6026,,,-77,
6033,-50,,,
6100,,,,-88
6106,,-56,,
6116,,,-77,
6142,-50,,,
6203,,,,-87
6206,,-56,,
6221,,,-77,
6234,-50,,,
6297,,,,-70
6305,,-57,,
6317,,,-76,
6341,-50,,,
6397,,,,-70
6407,,-57,,
6427,,,-76,
6436,-50,,,
6504,,,,-70
6507,,-57,,
6520,,,-77,
6536,-50,,,
6598,,,,-71
6604,,-57,,
6620,,,-76,
6635,-50,,,
6703,,-57,,
6719,,,-76,
6734,-50,,,
6803,,-63,,
6805,,,,-72
6826,,,-96,
6842,-56,,,
6901,,,,-72
6910,,-64,,
6927,,,-95,
6937,-56,,,
7000,,,,-72
7002,,-64,,
7019,,,-95,
7040,-56,,,
7102,,,,-72
7104,,-64,,
7123,,,-96,
7135,-56,,,
7204,,,,-72
7210,,-63,,
7224,,,-95,
7238,-56,,,
7305,,-56,,
7320,,,-77,
7336,-50,,,
7401,,,,-85
7404,,-56,,
7426,,,-77,
7436,-50,,,
7503,,,,-85
7506,,-56,,
7517,,,-77,
7540,-50,,,
7606,,-56,,
