Timestamp,1,2,3,4
0,,-65,,
49,,,-60,
74,-55,,,
98,,-65,,
102,,,,-76
154,,,-67,
172,-62,,,
197,,,,-73
202,,-70,,
255,,,-67,
271,-62,,,
293,,-70,,
307,,,,-73
350,,,-66,
374,-62,,,
393,,-70,,
402,,,,-73
452,,,-66,
471,-62,,,
495,,-70,,
499,,,,-73
548,,,-66,
572,-62,,,
595,,-70,,
599,,,,-73
654,,,-64,
673,-55,,,
701,,,,-73
749,,,-64,
773,-55,,,
798,,,,-73
800,,-67,,
848,,,-64,
877,-55,,,
896,,,,-73
898,,-67,,
947,,,-64,
975,-55,,,
995,,-67,,
997,,,,-73
1055,,,-64,
1073,-55,,,
1092,,-67,,
1099,,,,-73
1154,,,-60,
1169,-55,,,
1198,,-65,,
1201,,,,-75
1255,,,-60,
1273,-55,,,
1298,,-65,,
1300,,,,-76
1351,,,-60,
1378,-55,,,
1397,,-65,,
1406,,,,-75
1451,,,-60,
1468,-55,,,
1492,,-65,,
1499,,,,-76
1547,,,-60,
1575,-55,,,
1599,,-65,,
1654,,,-67,
1676,-62,,,
1697,,-70,,
1704,,,,-73
1750,,,-66,
1778,-62,,,
1795,,-70,,
1807,,,,-73
1852,,,-66,
1869,-62,,,
1900,,,,-73
1950,,,-67,
1977,-62,,,
1994,,-70,,
2003,,,,-74
2051,,,-67,
2073,-62,,,
2097,,-70,,
2102,,,,-73
2151,,,-64,
2172,-55,,,
2198,,-67,,
2201,,,,-73
2255,,,-64,
2272,-55,,,
2296,,-67,,
2298,,,,-73
2352,,,-64,
2367,-55,,,
2399,,-67,,
2402,,,,-73
2451,,,-64,
2470,-55,,,
2496,,-67,,
2505,,,,-73
2554,,,-64,
2576,-55,,,
2595,,-67,,
2605,,,,-73
2646,,,-60,
2673,-55,,,
2697,,-65,,
2702,,,,-76
2753,,,-60,
2769,-55,,,
2795,,-65,,
2805,,,,-76
2854,,,-60,
2869,-55,,,
2898,,-65,,
2904,,,,-76
2955,,,-60,
2971,-55,,,
2998,,-65,,
3006,,,,-76
3048,,,-60,
3075,-55,,,
3097,,-65,,
3106,,,,-76
3148,,,-67,
3173,-62,,,
3196,,-70,,
3199,,,,-73
3250,,,-67,
3272,-62,,,
3298,,-71,,
3301,,,,-73
3349,,,-67,
3370,-62,,,
3401,,-70,,
3406,,,,-73
3455,,,-67,
3477,-62,,,
3501,,-70,,
3554,,,-66,
3574,-62,,,
3598,,-70,,
3606,,,,-73
3648,,,-64,
3671,-55,,,
3700,,-67,,
3703,,,,-73
3749,,,-64,
3775,-55,,,
3792,,-67,,
3797,,,,-73
3848,,,-64,
3867,-55,,,
3895,,-67,,
3899,,,,-73
3946,,,-64,
3968,-55,,,
3995,,-67,,
4004,,,,-73
4049,,,-64,
4071,-55,,,
4097,,-67,,
4102,,,,-73
4148,,,-60,
4177,-55,,,
4197,,-65,,
4201,,,,-76
4254,,,-61,
4268,-55,,,
4301,,-65,,
4304,,,,-76
4354,,,-60,
4377,-55,,,
4398,,,,-77
4401,,-65,,
4449,,,-61,
4478,-55,,,
4501,,-65,,
4504,,,,-76
4548,,,-61,
4577,-55,,,
4596,,-65,,
4604,,,,-76
4647,,,-66,
4674,-62,,,
4696,,-70,,
4706,,,,-73
4749,,,-67,
4773,-62,,,
4796,,-70,,
4806,,,,-73
4847,,,-66,
4875,-62,,,
4894,,-70,,
4898,,,,-73
4949,,,-67,
4969,-62,,,
4998,,-70,,
5000,,,,-74
5049,,,-67,
5069,-62,,,
5101,,-70,,
5106,,,,-74
5150,,,-64,
5174,-55,,,
5197,,,,-73
5199,,-67,,
5246,,,-64,
5270,-55,,,
5292,,-67,,
5304,,,,-73
5346,,,-64,
5368,-55,,,
5401,,-67,,
5403,,,,-73
5451,,,-64,
5470,-55,,,
5493,,-67,,
5505,,,,-73
5548,,,-64,
5571,-55,,,
5595,,-67,,
5605,,,,-73
5656,,,-61,
5669,-55,,,
5698,,-65,,
5700,,,,-77
5750,,,-61,
5774,-55,,,
5795,,-65,,
5798,,,,-76
5853,,,-60,
5870,-55,,,
5894,,-65,,
5902,,,,-76
5949,,,-60,
5970,-55,,,
5999,,,,-76
6002,,-65,,
6056,,,-60,
6071,-55,,,
6093,,-65,,
6101,,,,-77
6152,,,-66,
6171,-62,,,
6201,,,,-74
6203,,-70,,
6247,,,-67,
6278,-62,,,
6296,,-70,,
6298,,,,-74
6350,,,-67,
6373,-62,,,
6398,,,,-74
6401,,-70,,
6455,,,-67,
6475,-62,,,
6499,,,,-73
6501,,-70,,
6551,,,-66,
6577,-62,,,
6599,,-70,,
6602,,,,-74
6649,,,-64,
6668,-55,,,
6697,,-67,,
6704,,,,-73
6754,,,-64,
6776,-55,,,
6796,,-67,,
6798,,,,-73
6851,,,-64,
6873,-55,,,
6896,,-67,,
6900,,,,-73
6954,,,-64,
6974,-55,,,
6994,,-67,,
7000,,,,-73
7052,,,-64,
7071,-55,,,
7101,,-67,,
7103,,,,-73
7148,,,-60,
7170,-55,,,
7194,,-66,,
7199,,,,-77
7251,,,-61,
7270,-55,,,
7294,,-65,,
7303,,,,-76
7353,,,-60,
7374,-55,,,
7401,,-65,,
7403,,,,-77
7452,,,-60,
7469,-55,,,
7496,,-65,,
7500,,,,-77
7549,,,-60,
7574,-55,,,
7596,,-66,,
7601,,,,-76
7655,,,-66,
7673,-62,,,
7696,,-70,,
7699,,,,-73
7756,,,-66,
7773,-62,,,
7797,,-70,,
7802,,,,-73
7848,,,-66,
7871,-62,,,
7899,,-70,,
7947,,,-66,
7975,-62,,,
7993,,-70,,
7998,,,,-74
8047,,,-67,
8077,-62,,,
8097,,-70,,
8099,,,,-74
8149,,,-64,
8176,-55,,,
8193,,-67,,
8200,,,,-73
8255,,,-64,
8272,-55,,,
8293,,-67,,
8301,,,,-73
8348,,,-64,
8374,-55,,,
8397,,-67,,
8401,,,,-73
8450,,,-64,
8477,-55,,,
8497,,-67,,
8500,,,,-73
8546,,,-64,
8571,-55,,,
8593,,-67,,
8601,,,,-73
8656,,,-60,
8675,-55,,,
8696,,-66,,
8702,,,,-77
8752,,,-60,
8776,-55,,,
8798,,,,-76
8800,,-65,,
8850,,,-60,
8868,-55,,,
8897,,,,-76
8900,,-65,,
8951,,,-60,
8977,-55,,,
8996,,-65,,
9000,,,,-76
9048,,,-61,
9074,-55,,,
9095,,-66,,
9103,,,,-77
9154,,,-66,
9178,-62,,,
9197,,,,-73
9200,,-70,,
9247,,,-66,
9272,-62,,,
9298,,-70,,
9304,,,,-74
9351,,,-66,
9376,-62,,,
9393,,-70,,
9405,,,,-73
9451,,,-66,
9476,-62,,,
9497,,-70,,
9506,,,,-74
9549,,,-66,
9575,-62,,,
9594,,-70,,
9599,,,,-74
9646,,,-63,
9669,-55,,,
9692,,-67,,
9704,,,,-73
9749,,,-64,
9776,-55,,,
9792,,-67,,
9796,,,,-73
9849,,,-64,
9869,-55,,,
9895,,-67,,
9898,,,,-73
9950,,,-64,
9973,-55,,,
9995,,-67,,
10000,,,,-73
10053,,,-64,
10077,-55,,,
10097,,-67,,
10104,,,,-73
10149,,,-60,
10172,-55,,,
10199,,,,-77
10201,,-66,,
10250,,,-60,
10276,-55,,,
10294,,-65,,
10305,,,,-76
10348,,,-61,
10374,-55,,,
10400,,,,-77
10447,,,-60,
10477,-55,,,
10494,,-65,,
10504,,,,-76
10548,,,-60,
10575,-55,,,
10594,,-65,,
10603,,,,-76
10647,,,-66,
10672,-62,,,
10695,,-70,,
10706,,,,-73
10754,,,-67,
10768,-62,,,
10800,,-70,,
10804,,,,-73
10848,,,-67,
10877,-62,,,
10895,,-70,,
10905,,,,-74
10951,,,-67,
10971,-62,,,
11001,,-70,,
11005,,,,-74
11047,,,-67,
11072,-62,,,
11097,,-71,,
11100,,,,-74
11154,,,-64,
11169,-55,,,
11196,,-67,,
11204,,,,-73
11246,,,-64,
11270,-55,,,
11299,,-67,,
11301,,,,-73
11349,,,-64,
11371,-55,,,
11396,,-67,,
11398,,,,-72
11450,,,-64,
11475,-55,,,
11493,,-67,,
11500,,,,-73
11554,,,-64,
11573,-55,,,
11593,,-67,,
11595,,,,-73
11650,,,-60,
11674,-55,,,
11692,,-65,,
11697,,,,-77
11752,,,-61,
11772,-55,,,
11797,,,,-76
11800,,-65,,
11848,,,-61,
11870,-55,,,
11893,,-65,,
11897,,,,-76
11951,,,-60,
11974,-55,,,
11996,,-65,,
12003,,,,-76
12052,,,-60,
12072,-55,,,
12094,,-65,,
12102,,,,-76
12146,,,-67,
12169,-62,,,
12194,,-70,,
12200,,,,-73
12247,,,-67,
12278,-62,,,
12294,,-70,,
12298,,,,-73
12354,,,-66,
12377,-62,,,
12402,,-70,,
12405,,,,-74
12455,,,-67,
12477,-62,,,
12494,,-70,,
12500,,,,-73
12550,,,-66,
12571,-62,,,
12596,,-70,,
12599,,,,-73
12648,,,-64,
12669,-55,,,
12697,,,,-73
12701,,-67,,
12746,,,-64,
12770,-55,,,
12797,,-67,,
12803,,,,-73
12855,,,-64,
12875,-55,,,
12894,,-67,,
12897,,,,-73
12950,,,-64,
12974,-55,,,
12998,,-67,,
13002,,,,-73
13051,,,-64,
13070,-55,,,
13093,,-67,,
13098,,,,-73
13147,,,-60,
13171,-55,,,
13192,,-65,,
13197,,,,-76
13250,,,-60,
13271,-55,,,
13301,,,,-76
13354,,,-60,
13373,-55,,,
13397,,-66,,
13401,,,,-76
13456,,,-60,
13477,-55,,,
13500,,,,-76
13502,,-65,,
13548,,,-60,
13572,-55,,,
13595,,-65,,
13597,,,,-77
13651,,,-67,
13671,-62,,,
13694,,-70,,
13700,,,,-73
13754,,,-67,
13772,-62,,,
13793,,-70,,
13803,,,,-74
13849,,,-66,
13874,-62,,,
13898,,-71,,
13903,,,,-73
13949,,,-66,
13978,-62,,,
13998,,,,-73
14002,,-71,,
14047,,,-66,
14072,-62,,,
14097,,-70,,
14105,,,,-73
14148,,,-64,
14172,-55,,,
14192,,-67,,
14201,,,,-72
14252,,,-64,
14270,-55,,,
14294,,-67,,
14300,,,,-73
14353,,,-64,
14372,-55,,,
14397,,-67,,
14399,,,,-73
14454,,,-64,
14473,-55,,,
14495,,-67,,
14499,,,,-72
14550,,,-64,
14570,-55,,,
14596,,-67,,
14601,,,,-73
14646,,,-60,
14671,-55,,,
14695,,-65,,
14702,,,,-76
14749,,,-60,
14774,-55,,,
14792,,-65,,
14805,,,,-76
14847,,,-60,
14875,-55,,,
14897,,-65,,
14900,,,,-77
14951,,,-60,
14972,-55,,,
14993,,-65,,
15001,,,,-76
15049,,,-61,
15069,-55,,,
15101,,-65,,
15147,,,-66,
15169,-62,,,
15199,,,,-73
15202,,-70,,
15247,,,-67,
15271,-62,,,
15299,,,,-73
15301,,-70,,
15351,,,-66,
15372,-62,,,
15395,,-71,,
15399,,,,-73
15447,,,-66,
15471,-62,,,
15494,,-71,,
15505,,,,-73
15555,,,-67,
15571,-62,,,
15597,,-70,,
15601,,,,-73
15651,,,-64,
15674,-55,,,
15698,,,,-73
15700,,-67,,
15754,,,-63,
15773,-55,,,
15792,,-67,,
15795,,,,-73
15848,,,-64,
15874,-55,,,
15900,,-67,,
15905,,,,-73
15952,,,-64,
15974,-55,,,
16000,,,,-73
16002,,-67,,
16051,,,-64,
16074,-55,,,
16093,,-67,,
16098,,,,-73
16151,,,-60,
16168,-55,,,
16193,,-65,,
16201,,,,-76
16246,,,-60,
16271,-55,,,
16295,,-65,,
16303,,,,-76
16352,,,-60,
16376,-55,,,
16397,,-65,,
16402,,,,-77
16450,,,-60,
16468,-55,,,
16498,,,,-77
16500,,-65,,
16550,,,-61,
16572,-55,,,
16593,,-65,,
16603,,,,-76
16649,,,-67,
16677,-62,,,
16696,,-70,,
16698,,,,-73
16754,,,-66,
16769,-62,,,
16792,,-70,,
16798,,,,-74
16851,,,-66,
16876,-62,,,
16898,,-70,,
16900,,,,-73
16948,,,-67,
16976,-62,,,
16994,,-70,,
17000,,,,-74
17055,,,-66,
17078,-62,,,
17093,,-70,,
17098,,,,-73
17148,,,-63,
17168,-55,,,
17195,,-67,,
17197,,,,-72
17248,,,-64,
17272,-55,,,
17296,,-67,,
17304,,,,-73
17352,,,-64,
17368,-55,,,
17396,,,,-73
17401,,-67,,
17448,,,-64,
17473,-55,,,
17495,,,,-73
17499,,-67,,
17545,,,-64,
17574,-55,,,
17593,,-67,,
17599,,,,-72
17654,,,-60,
17672,-55,,,
17700,,-65,,
17754,,,-60,
17773,-55,,,
17801,,-65,,
17805,,,,-77
17846,,,-60,
17871,-55,,,
17901,,-66,,
17903,,,,-76
17952,,,-60,
17971,-55,,,
17993,,-65,,
18003,,,,-76
18054,,,-61,
18074,-55,,,
18101,,-65,,
18104,,,,-76
18150,,,-67,
18176,-62,,,
18198,,-70,,
18206,,,,-73
18247,,,-66,
18276,-62,,,
18348,,,-66,
18376,-62,,,
18394,,-70,,
18398,,,,-73
18451,,,-67,
18473,-62,,,
18497,,,,-73
18500,,-70,,
18551,,,-66,
18572,-62,,,
18595,,-70,,
18599,,,,-74
18646,,,-64,
18667,-55,,,
18692,,-67,,
18696,,,,-73
18751,,,-64,
18772,-55,,,
18794,,-67,,
18805,,,,-73
18854,,,-64,
18871,-55,,,
18892,,-67,,
18902,,,,-72
18947,,,-64,
18974,-55,,,
18991,,-67,,
19003,,,,-72
19046,,,-64,
19076,-55,,,
19099,,-67,,
19101,,,,-73
19153,,,-60,
19169,-55,,,
19195,,-65,,
19198,,,,-76
19252,,,-60,
19273,-55,,,
19299,,-65,,
19301,,,,-76
19347,,,-60,
19373,-55,,,
19397,,-65,,
19400,,,,-76
19454,,,-60,
19472,-55,,,
19492,,-66,,
19500,,,,-77
19551,,,-60,
19574,-55,,,
19596,,-65,,
19599,,,,-76
19656,,,-66,
19670,-62,,,
19695,,-70,,
19702,,,,-74
19748,,,-67,
19774,-62,,,
19793,,-70,,
19801,,,,-73
19852,,,-67,
19876,-62,,,
19901,,-70,,
19903,,,,-73
19954,,,-67,
19968,-62,,,
19996,,-70,,
20005,,,,-74
